18323,CREATE,50000.00,2025-05-17 17:53:42
18324,CREATE,20000.00,2025-05-17 17:53:55
18325,CREATE,40000.00,2025-05-17 17:54:09
18325,TRANSFER_OUT,20000.00,2025-05-17 17:54:34
18323,TRANSFER_IN,20000.00,2025-05-17 17:54:34
18326,CREATE,35000.00,2025-05-17 17:54:58
18327,CREATE,300000.00,2025-05-17 17:55:14
18328,CREATE,25000.00,2025-05-17 17:55:34
18329,CREATE,10000.00,2025-05-23 12:34:12
18330,CREATE,70000.00,2025-05-23 12:34:48
18330,TRANSFER_OUT,20000.00,2025-05-23 12:35:35
18329,TRANSFER_IN,20000.00,2025-05-23 12:35:35
18330,DEPOSIT,5000.00,2025-05-23 12:36:09
18329,WITHDRAW,6000.00,2025-05-23 12:36:24
18331,CREATE,1000.00,2025-05-23 12:41:23
18332,CREATE,90000.00,2025-05-23 12:55:34
18330,DEPOSIT,500.00,2025-05-23 12:56:34
18323,DEPOSIT,1000.00,2025-05-23 13:44:34
18333,CREATE,0.00,2025-05-24 14:05:56
18334,CREATE,12023.00,2025-05-24 18:18:29
18335,CREATE,15554.00,2025-05-24 18:59:26
18336,CREATE,0.00,2025-05-24 18:59:47
18337,CREATE,-52.00,2025-05-26 12:00:35
18338,CREATE,-52.00,2025-05-26 12:17:29
18339,CREATE,20000.00,2025-05-26 12:20:21
18340,CREATE,100000.00,2025-05-26 12:28:13
18341,CREATE,0.00,2025-05-26 13:10:08
18342,CREATE,1000000.00,2025-05-26 17:41:50
18323,CLOSE,71000.00,2025-05-26 18:06:51
